area_id,area_name,tier,unlock_gate,zone_role,landmark_source,notes
MF01,Forest Entrance / Coastal Fringe,1,none (Act 1 start),Boat arrival; tutorial-adjacent; gentle intro encounters,"Card art: beach, pink coral",Player + Ty arrive by boat here
MF02,Outer Mirage Forest,1,none,Standard early jungle route connecting Entrance to interior landmarks,Core "dense Jurassic jungle" biome,
MF03,Sand Basin,1,none,Named landmark; biome break from canopy to open sandy/rock-studded ground,"Named in world-lore+story-timeline.md II.2; ""ground is rock-studded in places""",
MF04,Ruins of Progress (Railway Belt),1,none,Overgrown rail line and bridges; foreshadows Holon Ruins theme; light traversal gimmick,Rusted railway reclaimed by jungle (Voltorb/Electrode card backgrounds),
MF05,Strange Cave,1,none,Named landmark; stalactite/stalagmite cave lit by soft yellow light; cave-type encounter pool,Direct TCG landmark (Strange Cave),
MF06,Cursed Shrine,1,none,Named landmark; cave-shrine entrance; story/atmosphere forward; doorway to Regi Chambers (sealed for now),Direct TCG landmark (Cursed Stone / Japanese Cursed Shrine),Regi Chamber entrance hidden here but inaccessible until postgame trigger
MF07,Deep Mirage Forest,1,none,Thicker darker mid-forest gauntlet leading to Power Spot,Core biome escalation,
MF08,The Power Spot,1,none,Narrative-critical clearing; Mew + Ghost-types at edges; Full Flame ring and Power Tree/Giant Stump as set-dressing,Central TCG landmark cluster (Power Spot / Full Flame / Power Tree),Low encounter slots high rarity; emotional center of the zone
MF09,Fossil Grove,1,none,Dedicated roaming-fossil habitat,Devon fossil restoration program,Fossil mons roam wild per design decision (not one-time revival item)
MF10,Forest's Edge / Holon Approach,1,none,Transition-only; ends Act 1 on arrival at Holon Village,End-of-act beat,No wild encounters (or minimal) - pure transition
MF11,Glacial Fringe (Ice Flows),2,TBD - likely Waterfall/Surf-equivalent or late badge,Ice-sheet border biome; revisited in later act,"Card art: floating ice sheets, Walrein ex/Sealeo",
MF12,Volcanic Fringe (Calderas),2,TBD - likely Strength/Rock Smash-equivalent or late badge,Volcanic caldera border biome; revisited in later act,"Card art: volcanic calderas, active lava streams",
MF13,Coral Coast / Abyssal Trench,2,TBD - likely Surf + Dive-equivalent,Shallow reef down to deep ocean drop-off; placement within zone geography TBD,"Card art: shallow reefs, coral, deep ocean drop-offs (Wailord)",Geographic placement relative to MF01/MF11 not yet decided
MF14a,Regi Chamber - Rock,3,Postgame - hidden trigger TBD,One of three sealed chambers hidden throughout the forest,Regi Chambers lore (sealed deliberately by ancient civilization),Single-Regi chamber; exact forest sub-location TBD
MF14b,Regi Chamber - Ice,3,Postgame - hidden trigger TBD,One of three sealed chambers hidden throughout the forest,Regi Chambers lore (sealed deliberately by ancient civilization),Single-Regi chamber; exact forest sub-location TBD
MF14c,Regi Chamber - Steel,3,Postgame - hidden trigger TBD,One of three sealed chambers hidden throughout the forest,Regi Chambers lore (sealed deliberately by ancient civilization),Single-Regi chamber; exact forest sub-location TBD
