area_id,area_name,map_type,tier,unlock_gate,zone_role,landmark_source,notes
R101,Route 101 - Mirage Forest Approach,route,1,none (Act 1 start),Boat dock to forest interior; main entry corridor; connects to Sand Basin and Ruins of Progress as branches,"Core ""dense Jurassic jungle"" biome; card art beach/pink coral now framed as this route's starting edge",Forest Entrance merged in - no separate arrival area. Was MF01.
L-SANDBASIN,Sand Basin,location,1,none,Named landmark; biome break from canopy to open sandy/rock-studded ground; branches off Route 101,"Named in world-lore+story-timeline.md II.2; ""ground is rock-studded in places""",Was MF02. Branches off Route 101.
L-RUINS,Ruins of Progress (Railway Belt),location,1,none,Overgrown rail line and bridges; foreshadows Holon Ruins theme; light traversal gimmick; branches off Route 101,Rusted railway reclaimed by jungle (Voltorb/Electrode card backgrounds),Was MF03. Branches off Route 101.
R102,Route 102 - Deep Mirage Forest (Outer Half),route,1,none,"Connects Route 101 to the Power Spot threshold; lower-level half of the old ""Deep Mirage Forest"" table",Core biome escalation,Was part of MF05 - split into R102 (outer/lower-level half) and R103 (inner/upper-level half) per design decision
L-CURSEDSHRINE,Cursed Shrine & Strange Cave,location,1,none,Named landmark; single location - Cursed Shrine is the cave-mouth/entrance and atmosphere layer, Strange Cave is the interior; one map; branches off Route 102,Direct TCG landmarks (Cursed Stone/Cursed Shrine + Strange Cave),Was MF04. Branches off Route 102.
R103,Route 103 - Deep Mirage Forest (Inner Half),route,1,none,"Continues past the Power Spot toward Fossil Grove and Forest's Edge; higher-level half of the old ""Deep Mirage Forest"" table",Core biome escalation,Was part of MF05 - split into R102 (outer/lower-level half) and R103 (inner/upper-level half) per design decision
L-POWERSPOT,The Power Spot,location,1,none,Narrative-critical clearing; Mew + Ghost-types at edges; Full Flame ring and Power Tree/Giant Stump as set-dressing; sits between Route 102 and Route 103,Central TCG landmark cluster (Power Spot / Full Flame / Power Tree),Was MF06. Landmark passed between R102 and R103 rather than a side-branch.
L-FOSSILGROVE,Fossil Grove,location,1,none,Dedicated roaming-fossil habitat; branches off Route 103,Devon fossil restoration program,Was MF07. Branches off Route 103. Fossil mons roam wild per design decision.
R104,Route 104 - Ice Plateau,route,2,TBD - likely Waterfall/Surf-equivalent or late badge,Glacial border biome (merged Ice Plateau + Glacial Fringe/Ice Flows into one Tier 2 area under the Ice Plateau name); revisited in later act,"Card art: floating ice sheets, Walrein ex/Sealeo",Was MF08. Branch point off the main path TBD - see notes on border branching below.
R105,Route 105 - Volcanic Fringe (Calderas),route,2,TBD - likely Strength/Rock Smash-equivalent or late badge,Volcanic caldera border biome; revisited in later act,"Card art: volcanic calderas, active lava streams",Was MF09. Branch point off the main path TBD - see notes on border branching below.
R106,Route 106 - Coral Coast / Abyssal Trench,route,2,TBD - likely Surf + Dive-equivalent,Shallow reef down to deep ocean drop-off; absorbs the old Coastal Fringe's Tentacool/Chinchou coastal-water encounters; placement within zone geography TBD,"Card art: shallow reefs, coral, deep ocean drop-offs (Wailord)",Was MF10. Branch point off the main path TBD - see notes on border branching below.
L-FORESTEDGE,Forest's Edge / Holon Approach,location,1,none,Transition-only; ends Act 1 on arrival at Holon Village; sits at the end of Route 103,End-of-act beat,Was MF08 (old numbering) / now a location at the terminus of Route 103. No wild encounters - pure transition.
L-REGIROCK,Regi Chamber - Rock,location,3,Postgame - hidden trigger TBD,Hidden sealed chamber; exact branch point TBD (candidate: off Route 101 or Sand Basin),Regi Chambers lore (sealed deliberately by ancient civilization),Was MF11a. Three chambers intentionally NOT clustered - spread across different routes per design decision.
L-REGIICE,Regi Chamber - Ice,location,3,Postgame - hidden trigger TBD,Hidden sealed chamber; exact branch point TBD (candidate: off Route 104 / Ice Plateau),Regi Chambers lore (sealed deliberately by ancient civilization),Was MF11b. Three chambers intentionally NOT clustered - spread across different routes per design decision.
L-REGISTEEL,Regi Chamber - Steel,location,3,Postgame - hidden trigger TBD,Hidden sealed chamber; exact branch point TBD (candidate: off Route 103 or Route 105 / Volcanic Fringe),Regi Chambers lore (sealed deliberately by ancient civilization),Was MF11c. Three chambers intentionally NOT clustered - spread across different routes per design decision.
